period,cliente,produc,cantidad_facturas,cantidad_unidades,cantidad_productos,total_facturado,unidades_promedio_por_compra,productos_promedio_por_compra,precio_uni,depo,descripcion,precio_uni_deflactado,total_facturado_deflactado
2022-05,296,000-000-0248,1.0,3.0,3.0,480.83,3.0,3.0,130.298,1.0,la camp cubeti pure x 400,1136.4758289505146,4193.860787074827
2024-01,296,000-000-10173,1.0,4.0,4.0,550.66,4.0,4.0,126.4142,1.0,kesitas x 75 grs,178.85150449858963,779.0767925374947
2022-08,296,000-000-10344,1.0,2.0,2.0,717.11,2.0,2.0,268.1707,1.0,cofler aireado leche x 100 grs,1969.7302690482245,5267.217012287965
2024-04,296,000-000-10600,1.0,1.0,1.0,1195.02,1.0,1.0,893.7778,1.0,bebida bc multifruta x 1 lt,964.7795084319998,1289.9523887999999
2024-04,296,000-000-10606,1.0,1.0,1.0,341.91,1.0,1.0,255.7195,1.0,bebida bc multifruta x 200,276.03385707999996,369.07133039999997
2023-11,296,000-000-10619,1.0,1.0,1.0,433.13,1.0,1.0,323.9424,1.0,nav mani color x 80 grs,715.6999643942611,956.9328546620828
2023-12,296,000-000-11663,2.0,9.0,9.0,2248.31,4.5,4.5,196.67149999999998,1.0,alf tofi glase x 44 grs,335.0153097916312,3829.8292897426536
2024-01,296,000-000-11663,1.0,3.0,3.0,952.57,3.0,3.0,237.48,1.0,alf tofi glase x 44 grs,335.9880083750486,1347.7012680554997
2024-02,296,000-000-11663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf tofi glase x 44 grs,0.0,0.0
2024-03,296,000-000-11663,1.0,6.0,6.0,1905.14,6.0,6.0,237.4808,1.0,alf tofi glase x 44 grs,271.72705123711995,2179.873380896
2024-04,296,000-000-11663,2.0,18.0,18.0,5715.42,9.0,9.0,237.4808,1.0,alf tofi glase x 44 grs,256.34627475199994,6169.4529648
2022-07,296,000-000-12496,1.0,6.0,6.0,506.96,6.0,6.0,69.83,1.0,snack saladix original x 30 grs,549.3219411384604,3988.031666612543
2022-07,296,000-000-12553,1.0,4.0,4.0,316.3,4.0,4.0,59.1392,1.0,graffiti x 45 grs,465.2221128651817,2488.1931831891025
2022-03,296,000-000-12590,1.0,50.0,50.0,1474.52,50.0,50.0,24.3722,1.0,turron mani c fibra arcor x 25 grs,235.0247751709808,14219.01721982893
2023-09,296,000-000-12962,1.0,1.0,1.0,128.47,1.0,1.0,106.7503,1.0,snack saladix cross orig x 27 grs,293.8876706113663,353.682837832233
2023-10,296,000-000-13136,1.0,6.0,6.0,3458.66,6.0,6.0,476.4,1.0,la camp atun natural x 170 grs,1217.778527090933,8841.061881839476
2022-12,296,000-000-13151,1.0,3.0,3.0,1079.09,3.0,3.0,297.27,1.0,merm bc durazno x 390 grs,1778.1588215447675,6454.715924044616
2024-02,296,000-000-13179,1.0,18.0,1.0,2386.71,18.0,1.0,1785.06,1.0,jg pv bc naranja mango x 18 uds,2256.93716940432,3017.6321869231197
2023-02,296,000-000-13185,1.0,36.0,2.0,1253.59,36.0,2.0,468.79,1.0,jg pv bc pomelo rosado x 18 uds,2391.2457528957084,6394.423437728045
2023-09,296,000-000-13311,1.0,3.0,3.0,3534.49,3.0,3.0,881.1659,1.0,cofler block miti miti x 170 grs,2425.8835223242286,9730.586545416434
2022-08,296,000-000-13342,1.0,20.0,20.0,599.0,20.0,20.0,22.4,1.0,oblea arcor twit x 20 grs,164.5293763512577,4399.6918051072935
2022-09,296,000-000-13349,1.0,2.0,2.0,210.46,1.0,1.0,87.4396,1.0,macucas x 110 grs,601.9205573204007,1448.7737877763798
2022-04,296,000-000-13364,1.0,20.0,20.0,1442.8,20.0,20.0,59.62,1.0,cereal mix frut choc x 26 grs,542.893852818915,13137.99481461138
2022-01,296,000-000-13390,2.0,12.0,12.0,566.52,6.0,6.0,39.2323,1.0,saladix extra queso x 30 grs,435.97936214006927,6295.604087437953
2022-02,296,000-000-13390,1.0,6.0,6.0,283.26,6.0,6.0,39.2323,1.0,saladix extra queso x 30 grs,405.5621973395994,2928.18794764556
2023-03,296,000-000-13464,1.0,2.0,2.0,585.32,2.0,2.0,218.886,1.0,choc arcor leche mani x 95 grs,1021.5125242393807,2731.6123949809235
2022-05,296,000-000-13770,1.0,12.0,12.0,634.5,12.0,12.0,43.94,1.0,saladix queso x 30 grs,383.2503025686166,5534.190190709769
2022-06,296,000-000-13770,2.0,12.0,12.0,693.98,6.0,6.0,48.0599,1.0,saladix queso x 30 grs,400.7500932615712,5786.790020821208
2022-07,296,000-000-13770,2.0,12.0,12.0,725.6800000000001,6.0,6.0,50.22255,1.0,saladix queso x 30 grs,395.0787434472775,5708.605846274639
2023-10,296,000-000-13781,1.0,12.0,12.0,1394.36,12.0,12.0,96.03,1.0,mana leche x 136 grs,245.47286304899725,3564.2772187962073
