period,cliente,produc,depo,descripcion,s_cantidad_periodos_con_venta,s_cantidad_total_facturas,s_completitud,s_longitud_serie,s_periodo_prom_entre_ventas,s_periodos_desde_ultima_venta,s_porcentaje_sobre_total_ventas,s_primera_venta,s_ultima_venta,s_ventas_totales,cantidad_facturas,cantidad_unidades,cantidad_productos,total_facturado,unidades_promedio_por_compra,productos_promedio_por_compra,precio_uni,fecha,precio_uni_deflactado,total_facturado_deflactado,mes,año,trimestre,tipo_producto,cantidad_unidades_escalada,cantidad_productos_escalada,precio_uni_deflactado_escalada,total_facturado_deflactado_escalada
2022-08,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,4.0,4.0,394.31,4.0,4.0,81.9208,2022-08-01,601.7133095623265,2896.2311780832333,8,2022,3,galletitas dulces,-0.2627663919347097,-0.1465257693108496,-0.5048803885528177,-0.6644985779599519
2022-09,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,4.0,4.0,394.31,4.0,4.0,81.9208,2022-09-01,563.9299995898092,2714.368489300125,9,2022,3,galletitas dulces,-0.2627663919347097,-0.1465257693108496,-0.527166487676681,-0.6839196345423805
2022-10,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,3.0,3.0,354.58,3.0,3.0,98.2228,2022-10-01,636.6764810665911,2298.374172357048,10,2022,4,galletitas dulces,-0.26846515966563755,-0.15723856345957185,-0.4842577192738307,-0.7283435305123527
2022-11,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,3.0,3.0,354.58,3.0,3.0,98.2228,2022-11-01,615.1463585184456,2220.6513742580173,11,2022,4,galletitas dulces,-0.26846515966563755,-0.15723856345957185,-0.4969570419537629,-0.7366435224993079
2022-12,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,3.0,3.0,401.95,3.0,3.0,111.3451,2022-12-01,666.0250674497403,2404.315734248055,12,2022,4,galletitas dulces,-0.26846515966563755,-0.15723856345957185,-0.4669467556299393,-0.7170300660426289
2023-01,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,2.0,2.0,242.51,2.0,2.0,111.3451,2023-01-01,623.6189770128655,1358.2442165428922,1,2023,1,galletitas dulces,-0.2741639273965655,-0.16795135760829408,-0.4919595545514505,-0.8287396985712
2023-02,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,2.0,6.0,6.0,851.02,3.0,3.0,117.8674,2023-02-01,601.228523763006,4340.958554212559,2,2023,1,galletitas dulces,-0.2513688564728539,-0.12510018101340514,-0.505166334500522,-0.5102166177308602
2023-03,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.5,4.0,4.0,546.765,2.5,2.5,114.60624999999999,2023-03-01,534.852479058092,2551.6812190626397,3,2023,1,galletitas dulces,-0.2627663919347097,-0.1465257693108496,-0.5443175658992448,-0.7012929544996762
2023-04,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,3.0,3.0,516.84,3.0,3.0,143.1668,2023-04-01,606.8490965572181,2190.758521281698,4,2023,2,galletitas dulces,-0.26846515966563755,-0.15723856345957185,-0.5018510970976631,-0.7398357704141932
2023-05,296,000-000-13783,1.0,mana vainilla x 136 grs,19,26,0.8260869565217391,23,1.2222222222222223,0,0.0017336812354182332,2022-08,2024-06,115.0,1.0,3.0,3.0,516.84,3.0,3.0,143.1668,2023-05-01,573.5813767081456,2070.660228054535,5,2023,2,galletitas dulces,-0.26846515966563755,-0.15723856345957185,-0.5214737215506459,-0.7526610275564074
