cliente,SKU,Fecha,cliente_cluster,pred_cantidad_unidades
1299,000-000-10340,2024-07-01,3,6.389829780457288
1299,000-000-10340,2024-08-01,3,5.778636410126779
1299,000-000-10340,2024-09-01,3,5.599742054025808
1299,000-000-10340,2024-10-01,3,5.374864223827372
1299,000-000-10340,2024-11-01,3,4.926275830904145
1299,000-000-10340,2024-12-01,3,4.814942913767711
1299,000-000-11283,2024-07-01,3,13.327638534950538
1299,000-000-11283,2024-08-01,3,11.469694170070973
1299,000-000-11283,2024-09-01,3,10.915646422066336
1299,000-000-11283,2024-10-01,3,10.093565269349591
1299,000-000-11283,2024-11-01,3,9.988177640875334
1299,000-000-11283,2024-12-01,3,9.851298681913276
1299,000-000-12976,2024-07-01,3,30.990703991864553
1299,000-000-12976,2024-08-01,3,30.110017623869968
1299,000-000-12976,2024-09-01,3,28.135944128831277
1299,000-000-12976,2024-10-01,3,26.90979156791843
1299,000-000-12976,2024-11-01,3,23.295509387327915
1299,000-000-12976,2024-12-01,3,22.021298440141972
1299,000-000-5312,2024-07-01,3,24.857390898854057
1299,000-000-5312,2024-08-01,3,22.860187743689135
1299,000-000-5312,2024-09-01,3,23.243769976300435
1299,000-000-5312,2024-10-01,3,21.44282545727047
1299,000-000-5312,2024-11-01,3,20.5802035194784
1299,000-000-5312,2024-12-01,3,19.26567160155525
1299,000-000-6973,2024-07-01,3,2.103788059075153
1299,000-000-6973,2024-08-01,3,2.0910179483035036
1299,000-000-6973,2024-09-01,3,2.2557824780899787
1299,000-000-6973,2024-10-01,3,2.0532323568754216
1299,000-000-6973,2024-11-01,3,2.0554299551105397
1299,000-000-6973,2024-12-01,3,1.9599652071937406
1299,000-000-7049,2024-07-01,3,13.18762236238877
1299,000-000-7049,2024-08-01,3,13.749261631196084
1299,000-000-7049,2024-09-01,3,14.316652460022443
1299,000-000-7049,2024-10-01,3,13.030048273925352
1299,000-000-7049,2024-11-01,3,13.002780509039162
1299,000-000-7049,2024-12-01,3,11.728453056682184
1339,000-000-13358,2024-07-01,5,4.703627005210045
1339,000-000-13358,2024-08-01,5,5.223780903110928
1339,000-000-13358,2024-09-01,5,5.039055613834016
1339,000-000-13358,2024-10-01,5,4.69529183760481
1339,000-000-13358,2024-11-01,5,4.933625574163653
1339,000-000-13358,2024-12-01,5,4.9259126422125785
1339,000-000-4848,2024-07-01,5,4.325142771262287
1339,000-000-4848,2024-08-01,5,4.65946361001385
1339,000-000-4848,2024-09-01,5,4.728886422628472
1339,000-000-4848,2024-10-01,5,4.789382300602103
1339,000-000-4848,2024-11-01,5,4.841665272422047
1339,000-000-4848,2024-12-01,5,4.827069992578259
1339,000-000-6140,2024-07-01,5,4.6650765253107735
1339,000-000-6140,2024-08-01,5,4.265189012514869
1339,000-000-6140,2024-09-01,5,4.716228140139414
1339,000-000-6140,2024-10-01,5,4.502368299526369
1339,000-000-6140,2024-11-01,5,4.92802703213977
1339,000-000-6140,2024-12-01,5,4.547122026363811
1339,000-000-6596,2024-07-01,5,5.850573873358041
1339,000-000-6596,2024-08-01,5,5.558901590761399
1339,000-000-6596,2024-09-01,5,5.701836024693818
1339,000-000-6596,2024-10-01,5,5.211154571189842
1339,000-000-6596,2024-11-01,5,5.278302254946238
1339,000-000-6596,2024-12-01,5,4.784069251418222
1353,000-000-10130,2024-07-01,3,24.260504884656708
1353,000-000-10130,2024-08-01,3,26.553194145755658
1353,000-000-10130,2024-09-01,3,24.19477522295479
1353,000-000-10130,2024-10-01,3,23.539761827100012
1353,000-000-10130,2024-11-01,3,23.408276787063475
1353,000-000-10130,2024-12-01,3,21.98694383026771
1353,000-000-10204,2024-07-01,3,16.272857438104587
1353,000-000-10204,2024-08-01,3,14.123367646920393
1353,000-000-10204,2024-09-01,3,14.2884751339176
1353,000-000-10204,2024-10-01,3,12.78605596256888
1353,000-000-10204,2024-11-01,3,12.664516642747554
1353,000-000-10204,2024-12-01,3,12.426052584441159
1353,000-000-10885,2024-07-01,3,80.79831938284698
1353,000-000-10885,2024-08-01,3,80.77155577867691
1353,000-000-10885,2024-09-01,3,81.43926890721006
1353,000-000-10885,2024-10-01,3,80.61316648606766
1353,000-000-10885,2024-11-01,3,72.43554012851092
1353,000-000-10885,2024-12-01,3,64.50537733435989
1353,000-000-11827,2024-07-01,3,135.71089892502363
1353,000-000-11827,2024-08-01,3,135.17946463870845
1353,000-000-11827,2024-09-01,3,137.21084222424403
1353,000-000-11827,2024-10-01,3,136.38473980310175
1353,000-000-11827,2024-11-01,3,135.54320744831867
1353,000-000-11827,2024-12-01,3,133.57478539583255
1353,000-000-11828,2024-07-01,3,355.95179813008656
1353,000-000-11828,2024-08-01,3,299.5520950971479
1353,000-000-11828,2024-09-01,3,287.14066987937383
1353,000-000-11828,2024-10-01,3,264.62156133075496
1353,000-000-11828,2024-11-01,3,265.5573778572445
1353,000-000-11828,2024-12-01,3,269.13438575886653
1353,000-000-13315,2024-07-01,3,4.506392587877299
1353,000-000-13315,2024-08-01,3,4.925891385944999
1353,000-000-13315,2024-09-01,3,4.450155419929555
1353,000-000-13315,2024-10-01,3,4.321368543954277
1353,000-000-13315,2024-11-01,3,4.02805450896267
1353,000-000-13315,2024-12-01,3,3.8334642094392284
1353,000-000-13451,2024-07-01,3,4.224693995248792
1353,000-000-13451,2024-08-01,3,4.5455716204407945
1353,000-000-13451,2024-09-01,3,4.304597604238218
1353,000-000-13451,2024-10-01,3,4.101216649502797
1353,000-000-13451,2024-11-01,3,3.810354114707996
1353,000-000-13451,2024-12-01,3,4.120471119150066
1353,000-000-1732,2024-07-01,3,3.6640489045626636
1353,000-000-1732,2024-08-01,3,3.1311637408754565
1353,000-000-1732,2024-09-01,3,3.194551141809464
1353,000-000-1732,2024-10-01,3,2.7853580262364193
1353,000-000-1732,2024-11-01,3,2.763207784305385
1353,000-000-1732,2024-12-01,3,2.652468354690592
1353,000-000-2624,2024-07-01,3,150.55024160836598
1353,000-000-2624,2024-08-01,3,139.08264860418734
1353,000-000-2624,2024-09-01,3,151.09013379007735
1353,000-000-2624,2024-10-01,3,146.5186684888304
1353,000-000-2624,2024-11-01,3,150.66940587698272
1353,000-000-2624,2024-12-01,3,131.97620835512657
1353,000-000-3176,2024-07-01,3,25.49776278101123
1353,000-000-3176,2024-08-01,3,24.364793563985046
1353,000-000-3176,2024-09-01,3,26.463636508424507
1353,000-000-3176,2024-10-01,3,24.56745811638906
1353,000-000-3176,2024-11-01,3,24.26739713564081
1353,000-000-3176,2024-12-01,3,23.847124432813406
1353,000-000-8721,2024-07-01,3,9.54259448392034
1353,000-000-8721,2024-08-01,3,9.783686031155893
1353,000-000-8721,2024-09-01,3,9.432422458073221
1353,000-000-8721,2024-10-01,3,8.99663796179289
1353,000-000-8721,2024-11-01,3,9.037028221050464
1353,000-000-8721,2024-12-01,3,8.810416796203528
1353,000-000-8722,2024-07-01,3,22.003694360708543
1353,000-000-8722,2024-08-01,3,21.48960607008732
1353,000-000-8722,2024-09-01,3,20.414839960474602
1353,000-000-8722,2024-10-01,3,18.75058698562946
1353,000-000-8722,2024-11-01,3,18.450633579152427
1353,000-000-8722,2024-12-01,3,16.226569246285546
1376,000-000-1009,2024-07-01,5,24.172611164134814
1376,000-000-1009,2024-08-01,5,24.185826515323022
1376,000-000-1009,2024-09-01,5,24.298497394094916
1376,000-000-1009,2024-10-01,5,24.03108388348368
1376,000-000-1009,2024-11-01,5,23.921486947322165
1376,000-000-1009,2024-12-01,5,23.803079621907937
1376,000-000-13784,2024-07-01,5,7.284055377302872
1376,000-000-13784,2024-08-01,5,6.697803306402532
1376,000-000-13784,2024-09-01,5,6.707654897603227
1376,000-000-13784,2024-10-01,5,6.499000521078628
1376,000-000-13784,2024-11-01,5,6.027870682859694
1376,000-000-13784,2024-12-01,5,5.579882202344143
1376,000-000-3465,2024-07-01,5,20.260683336768366
1376,000-000-3465,2024-08-01,5,20.27389868795658
1376,000-000-3465,2024-09-01,5,20.34806113816265
1376,000-000-3465,2024-10-01,5,19.92301876474159
1376,000-000-3465,2024-11-01,5,19.89888797834653
1376,000-000-3465,2024-12-01,5,19.756054992450828
1422,000-000-3465,2024-07-01,1,10.151363348418988
1422,000-000-3465,2024-08-01,1,10.164578699607203
1422,000-000-3465,2024-09-01,1,10.238741149813263
1422,000-000-3465,2024-10-01,1,9.82693118208381
1422,000-000-3465,2024-11-01,1,10.027673737400848
1422,000-000-3465,2024-12-01,1,9.85390540770579
1574,000-000-13296,2024-07-01,1,4.742451178332411
1574,000-000-13296,2024-08-01,1,4.042643814094625
1574,000-000-13296,2024-09-01,1,4.567052063064006
1574,000-000-13296,2024-10-01,1,4.250148391493294
1574,000-000-13296,2024-11-01,1,4.288987838569117
1574,000-000-13296,2024-12-01,1,3.467399295007928
1594,000-000-5312,2024-07-01,1,13.408074474181308
1594,000-000-5312,2024-08-01,1,13.394275120953449
1594,000-000-5312,2024-09-01,1,11.608808908560622
1594,000-000-5312,2024-10-01,1,11.218743094794895
1594,000-000-5312,2024-11-01,1,10.548817188115622
1594,000-000-5312,2024-12-01,1,9.825075967599483
1745,000-000-12963,2024-07-01,1,5.159566660595015
1745,000-000-12963,2024-08-01,1,5.06356000639069
1745,000-000-12963,2024-09-01,1,4.7840197175005645
1745,000-000-12963,2024-10-01,1,4.866109295050721
1745,000-000-12963,2024-11-01,1,4.9823795115668705
1745,000-000-12963,2024-12-01,1,4.783173218719831
1745,000-000-13575,2024-07-01,1,3.1238122070345935
1745,000-000-13575,2024-08-01,1,3.110077138849596
1745,000-000-13575,2024-09-01,1,3.2325028292892504
1745,000-000-13575,2024-10-01,1,3.065577208404307
1745,000-000-13575,2024-11-01,1,3.0626955334845163
1745,000-000-13575,2024-12-01,1,2.890970088573247
1834,000-000-13180,2024-07-01,1,31.868418080685327
1834,000-000-13180,2024-08-01,1,34.58855895621525
1834,000-000-13180,2024-09-01,1,29.083786038560415
1834,000-000-13180,2024-10-01,1,28.14499864665662
1834,000-000-13180,2024-11-01,1,25.92597173513352
1834,000-000-13180,2024-12-01,1,22.807785465017822
1834,000-000-13612,2024-07-01,1,43.895023772171776
1834,000-000-13612,2024-08-01,1,38.78846416249675
1834,000-000-13612,2024-09-01,1,35.75990595683399
1834,000-000-13612,2024-10-01,1,35.46069778897758
1834,000-000-13612,2024-11-01,1,34.47624345731427
1834,000-000-13612,2024-12-01,1,33.76187670805823
1834,000-000-3101,2024-07-01,1,8.580436921527088
1834,000-000-3101,2024-08-01,1,8.33725790755185
1834,000-000-3101,2024-09-01,1,7.459081800879613
1834,000-000-3101,2024-10-01,1,7.003838299766878
1834,000-000-3101,2024-11-01,1,6.825537235099916
1834,000-000-3101,2024-12-01,1,6.2652368192312995
1883,000-000-6140,2024-07-01,1,5.785508333178109
1883,000-000-6140,2024-08-01,1,6.27502724680118
1883,000-000-6140,2024-09-01,1,5.777777888273437
1883,000-000-6140,2024-10-01,1,5.4274959567600725
1883,000-000-6140,2024-11-01,1,5.111463133223349
1883,000-000-6140,2024-12-01,1,4.4908422002949955
1883,000-000-6596,2024-07-01,1,5.671615014880148
1883,000-000-6596,2024-08-01,1,6.161133928503219
1883,000-000-6596,2024-09-01,1,5.710973942130451
1883,000-000-6596,2024-10-01,1,5.378581529963336
1883,000-000-6596,2024-11-01,1,5.0470212112633455
1883,000-000-6596,2024-12-01,1,4.424038254152013
1923,000-000-10130,2024-07-01,3,12.605451005324273
1923,000-000-10130,2024-08-01,3,12.694802238128407
1923,000-000-10130,2024-09-01,3,11.886512960881088
1923,000-000-10130,2024-10-01,3,11.67289520674193
1923,000-000-10130,2024-11-01,3,11.58476503245657
1923,000-000-10130,2024-12-01,3,11.350050914867737
1923,000-000-10131,2024-07-01,3,15.359982429758059
1923,000-000-10131,2024-08-01,3,14.472828276628086
1923,000-000-10131,2024-09-01,3,11.670058348493225
1923,000-000-10131,2024-10-01,3,11.253217810065166
1923,000-000-10131,2024-11-01,3,10.559972803873586
1923,000-000-10131,2024-12-01,3,9.836231583357447
1923,000-000-11554,2024-07-01,3,12.321445854220407
1923,000-000-11554,2024-08-01,3,11.538932336068903
1923,000-000-11554,2024-09-01,3,12.050979858962354
1923,000-000-11554,2024-10-01,3,11.67289520674193
1923,000-000-11554,2024-11-01,3,11.563298270580415
1923,000-000-11554,2024-12-01,3,11.362868451052915
1923,000-000-13348,2024-07-01,3,4.643087578466661
1923,000-000-13348,2024-08-01,3,4.205719216963523
1923,000-000-13348,2024-09-01,3,4.722687825272105
1923,000-000-13348,2024-10-01,3,4.479045375591864
1923,000-000-13348,2024-11-01,3,4.532852650510327
1923,000-000-13348,2024-12-01,3,4.102187760089121
1923,000-000-2170,2024-07-01,3,11.569470449661459
1923,000-000-2170,2024-08-01,3,11.628075241369856
1923,000-000-2170,2024-09-01,3,12.063986882647384
1923,000-000-2170,2024-10-01,3,11.685902230426962
1923,000-000-2170,2024-11-01,3,11.576305294265445
1923,000-000-2170,2024-12-01,3,11.375875474737946
1923,000-000-3176,2024-07-01,3,19.584559729364027
1923,000-000-3176,2024-08-01,3,20.22401731711022
1923,000-000-3176,2024-09-01,3,20.14001569176146
1923,000-000-3176,2024-10-01,3,19.607470138834216
1923,000-000-3176,2024-11-01,3,17.70383744262654
1923,000-000-3176,2024-12-01,3,16.34672465854914
1923,000-000-3777,2024-07-01,3,26.6399085761332
1923,000-000-3777,2024-08-01,3,24.404683187506997
1923,000-000-3777,2024-09-01,3,24.14249030646249
1923,000-000-3777,2024-10-01,3,23.741924573732767
1923,000-000-3777,2024-11-01,3,23.657753367430743
1923,000-000-3777,2024-12-01,3,23.365701624163478
1923,000-000-4680,2024-07-01,3,21.989968689954097
1923,000-000-4680,2024-08-01,3,20.09129679110749
1923,000-000-4680,2024-09-01,3,19.22478359740783
1923,000-000-4680,2024-10-01,3,18.59695678470902
1923,000-000-4680,2024-11-01,3,17.537287340859724
1923,000-000-4680,2024-12-01,3,16.41294410893578
1923,000-000-6020,2024-07-01,3,13.145643422582229
1923,000-000-6020,2024-08-01,3,12.245309972604485
1923,000-000-6020,2024-09-01,3,12.395608304426467
1923,000-000-6020,2024-10-01,3,11.823494820099167
1923,000-000-6020,2024-11-01,3,11.778424799395502
1923,000-000-6020,2024-12-01,3,11.161098569391285
1944,000-000-3313,2024-07-01,3,30.954254044339134
1944,000-000-3313,2024-08-01,3,24.124431437508797
1944,000-000-3313,2024-09-01,3,25.479928272360834
1944,000-000-3313,2024-10-01,3,24.01721928397027
1944,000-000-3313,2024-11-01,3,21.709614360752916
1944,000-000-3313,2024-12-01,3,19.011765614068825
1944,000-000-6140,2024-07-01,3,7.549449102147465
1944,000-000-6140,2024-08-01,3,8.39234217571628
1944,000-000-6140,2024-09-01,3,8.37794803695902
1944,000-000-6140,2024-10-01,3,7.335885565205591
1944,000-000-6140,2024-11-01,3,7.30501729366143
1944,000-000-6140,2024-12-01,3,6.272073651902903
1952,000-000-11283,2024-07-01,1,13.29263781530739
1952,000-000-11283,2024-08-01,1,13.20719490136808
1952,000-000-11283,2024-09-01,1,9.995349006098053
1952,000-000-11283,2024-10-01,1,8.965464927042726
1952,000-000-11283,2024-11-01,1,8.198786225320186
1952,000-000-11283,2024-12-01,1,7.0375734531512855
1952,000-000-11586,2024-07-01,1,4.130712878629035
1952,000-000-11586,2024-08-01,1,3.026711313335358
1952,000-000-11586,2024-09-01,1,3.0710977769470573
1952,000-000-11586,2024-10-01,1,2.651205400663311
1952,000-000-11586,2024-11-01,1,2.668003018142173
1952,000-000-11586,2024-12-01,1,2.5984631133082803
1952,000-000-6140,2024-07-01,1,4.444257626895382
1952,000-000-6140,2024-08-01,1,3.627488002213702
1952,000-000-6140,2024-09-01,1,3.7431021207680684
1952,000-000-6140,2024-10-01,1,3.56790490625562
1952,000-000-6140,2024-11-01,1,3.5466374476035676
1952,000-000-6140,2024-12-01,1,3.5284566811546534
2079,000-000-4013,2024-07-01,3,51.251773670819446
2079,000-000-4013,2024-08-01,3,52.33734902045285
2079,000-000-4013,2024-09-01,3,52.51539675708676
2079,000-000-4013,2024-10-01,3,51.68929433594435
2079,000-000-4013,2024-11-01,3,51.819064099481814
2079,000-000-4013,2024-12-01,3,50.927768275072076
2079,000-000-6020,2024-07-01,3,15.246869807112645
2079,000-000-6020,2024-08-01,3,12.292363477809612
2079,000-000-6020,2024-09-01,3,12.398705271098368
2079,000-000-6020,2024-10-01,3,11.921696827640698
2079,000-000-6020,2024-11-01,3,11.847115229019998
2079,000-000-6020,2024-12-01,3,11.01887064861069
2133,000-000-3313,2024-07-01,1,9.630626869076535
2133,000-000-3313,2024-08-01,1,10.00331400108928
2133,000-000-3313,2024-09-01,1,9.949261953612053
2133,000-000-3313,2024-10-01,1,9.591755032734907
2133,000-000-3313,2024-11-01,1,8.873319130399855
2133,000-000-3313,2024-12-01,1,8.604317658042094
2182,000-000-13612,2024-07-01,0,145.05060727394928
2182,000-000-13612,2024-08-01,0,143.9573367171956
2182,000-000-13612,2024-09-01,0,133.92145443273816
2182,000-000-13612,2024-10-01,0,133.1106421507625
2182,000-000-13612,2024-11-01,0,131.83636692737275
2182,000-000-13612,2024-12-01,0,131.46454500026195
2252,000-000-0299,2024-07-01,1,3.099939074753
2252,000-000-0299,2024-08-01,1,3.099939074753
2252,000-000-0299,2024-09-01,1,3.2223647651926535
2252,000-000-0299,2024-10-01,1,3.013733371598884
2252,000-000-0299,2024-11-01,1,2.820267763344764
2252,000-000-0299,2024-12-01,1,2.739613490778123
2259,000-000-10173,2024-07-01,3,5.982706422237284
2259,000-000-10173,2024-08-01,3,5.220649649292558
2259,000-000-10173,2024-09-01,3,5.6907904630750545
2259,000-000-10173,2024-10-01,3,5.502433603621884
2259,000-000-10173,2024-11-01,3,5.520019780550614
2259,000-000-10173,2024-12-01,3,5.660460201005256
2259,000-000-10174,2024-07-01,3,4.619431147450736
2259,000-000-10174,2024-08-01,3,4.989074648808525
2259,000-000-10174,2024-09-01,3,5.101030238606077
2259,000-000-10174,2024-10-01,3,5.153630912648895
2259,000-000-10174,2024-11-01,3,5.124958690739039
2259,000-000-10174,2024-12-01,3,4.898004022972929
2259,000-000-3176,2024-07-01,3,22.011372585017313
2259,000-000-3176,2024-08-01,3,18.88696926297308
