cliente,SKU,metric,HistoricAverage,AutoARIMA,AutoLightGBM
1299,000-000-10340,smape,0.24267399267399267,0.24267399267399267,0.129503367003367
1299,000-000-11283,smape,0.3604406130268199,0.2780378050114892,0.16865079365079363
1299,000-000-12976,smape,0.32184873949579834,0.32184873949579834,0.21352793547915497
1299,000-000-5312,smape,0.196847220792883,0.196847220792883,0.20299737883787072
1299,000-000-6973,smape,0.3333333333333333,0.3111111111111111,0.20000000000000004
1299,000-000-7049,smape,0.4709644275754674,0.4709644275754674,0.3080237862495927
1339,000-000-13358,smape,0.21085858585858586,0.23585858585858585,0.22904040404040404
1339,000-000-4848,smape,0.12328042328042328,0.12328042328042328,0.12169312169312169
1339,000-000-6140,smape,0.2248196248196248,0.2248196248196248,0.1536852036852037
1339,000-000-6596,smape,0.29945609945609947,0.3206682206682207,0.29945609945609947
1353,000-000-10130,smape,0.2658396101019052,0.2658396101019052,0.28703826145427924
1353,000-000-10204,smape,0.12365431511330517,0.15436210847975554,0.13733028955905321
1353,000-000-10885,smape,0.4367346938775511,0.4367346938775511,0.3639219029977618
1353,000-000-11827,smape,0.16428039173940814,0.3724052718286656,0.23107127115218215
1353,000-000-11828,smape,0.21125213021847378,0.24372865001368485,0.22565723316318578
1353,000-000-13315,smape,0.16450216450216448,0.19624819624819623,0.06666666666666667
1353,000-000-13451,smape,0.22348484848484848,0.18253968253968253,0.1880952380952381
1353,000-000-1732,smape,0.3,0.3857142857142857,0.2626984126984127
1353,000-000-2624,smape,0.2962118933498831,0.4853747877384296,0.30901929374622433
1353,000-000-3176,smape,0.19432419432419432,0.19432419432419432,0.23229559916816198
1353,000-000-8721,smape,0.08585858585858586,0.08585858585858586,0.2242063492063492
1353,000-000-8722,smape,0.10101010101010101,0.10101010101010101,0.19418163137675334
1376,000-000-1009,smape,0.15789473684210525,0.15789473684210525,0.023401360544217684
1376,000-000-13784,smape,0.2215007215007215,0.2215007215007215,0.2546120546120546
1376,000-000-3465,smape,0.13043478260869565,0.13043478260869565,0.058513176493891185
1422,000-000-3465,smape,0.25925925925925924,0.25925925925925924,0.07647907647907648
1574,000-000-13296,smape,0.20296370296370295,0.20296370296370295,0.23885003885003886
1594,000-000-5312,smape,0.17505803375368592,0.17505803375368592,0.24146283823703177
1745,000-000-12963,smape,0.4181818181818182,0.2597402597402597,0.26204906204906203
1745,000-000-13575,smape,0.25555555555555554,0.25555555555555554,0.12857142857142856
1834,000-000-13180,smape,0.20164857500223354,0.20164857500223354,0.1879848262926795
1834,000-000-13612,smape,0.11385465649939262,0.12443282550306863,0.1760547487564177
1834,000-000-3101,smape,0.17777777777777778,0.17777777777777778,0.302014652014652
1883,000-000-6140,smape,0.12784992784992785,0.12784992784992785,0.12894975394975394
1883,000-000-6596,smape,0.1520979020979021,0.1520979020979021,0.18835978835978837
1923,000-000-10130,smape,0.25,0.25,0.07076923076923076
1923,000-000-10131,smape,0.19047619047619047,0.17566137566137566,0.06954954954954955
1923,000-000-11554,smape,0.19059011164274323,0.19059011164274323,0.10982118758434549
1923,000-000-13348,smape,0.14444444444444446,0.14761904761904762,0.14761904761904762
1923,000-000-2170,smape,0.19047619047619047,0.19047619047619047,0.08222222222222221
1923,000-000-3176,smape,0.1402020202020202,0.1402020202020202,0.13041921041921042
1923,000-000-3777,smape,0.07535903250188965,0.07535903250188965,0.17546975691531386
1923,000-000-4680,smape,0.08452950558213716,0.08452950558213716,0.2518698664708851
1923,000-000-6020,smape,0.1640749601275917,0.1640749601275917,0.13648785425101215
1944,000-000-3313,smape,0.5382019156409155,0.5029335244770097,0.4787134162134162
1944,000-000-6140,smape,0.3771505376344086,0.5343061635744563,0.4487179487179487
1952,000-000-11283,smape,0.4055555555555555,0.4055555555555555,0.4078259656352962
1952,000-000-11586,smape,0.3956043956043956,0.3797313797313797,0.24242424242424243
1952,000-000-6140,smape,0.20033670033670034,0.20033670033670034,0.07936507936507936
2079,000-000-4013,smape,0.13892454714020824,0.1282899439200945,0.08930005962094208
